No_of_Packet,Price_per_Packet,IDNo,Brand,Days_between_Purchase,Age,SEC,Income,Household_Sz,Price_Conscious,Education,Loyalty
1,3,20,9,4,3,4,2,2,1,3,2
2,2,20,5,28,3,4,2,2,1,3,2
1,2,20,5,14,3,4,2,2,1,3,1
1,2,20,5,7,3,4,2,2,1,3,1
1,2,20,8,7,3,4,2,2,1,3,2
1,2,20,7,28,3,4,2,2,1,3,2
1,3,20,6,7,3,4,2,2,1,3,2
1,3,20,5,14,3,4,2,2,1,3,2
1,2,20,9,7,3,4,2,2,1,3,2
1,3,20,7,14,3,4,2,2,1,3,2
1,3,20,6,14,3,4,2,2,1,3,2
1,3,20,8,14,3,4,2,2,1,3,2
1,3,20,5,14,3,4,2,2,1,3,2
1,3,20,5,7,3,4,2,2,1,3,1
1,3,20,6,7,3,4,2,2,1,3,2
1,3,20,5,21,3,4,2,2,1,3,2
1,3,20,6,7,3,4,2,2,1,3,2
1,3,20,5,7,3,4,2,2,1,3,2
1,3,20,6,14,3,4,2,2,1,3,2
1,3,20,6,14,3,4,2,2,1,3,1
1,3,20,5,7,3,4,2,2,1,3,2
1,3,20,5,7,3,4,2,2,1,3,1
1,3,20,6,14,3,4,2,2,1,3,2
1,3,20,6,11,3,4,2,2,1,3,1
2,2,20,6,28,3,4,2,2,1,3,1
1,2,20,8,14,3,4,2,2,1,3,2
1,3,20,7,7,3,4,2,2,1,3,2
1,3,20,7,12,3,4,2,2,1,3,1
1,2,20,8,15,3,4,2,2,1,3,2
1,2,20,8,8,3,4,2,2,1,3,1
1,3,20,8,7,3,4,2,2,1,3,1
1,2,20,7,6,3,4,2,2,1,3,2
1,3,20,6,22,3,4,2,2,1,3,2
1,2,20,5,4,3,4,2,2,1,3,2
2,2,20,7,14,3,4,2,2,1,3,2
1,3,20,9,21,3,4,2,2,1,3,2
1,2,20,5,7,3,4,2,2,1,3,2
1,3,20,5,14,3,4,2,2,1,3,1
1,3,20,9,28,3,4,2,2,1,3,2
1,2,20,7,14,3,4,2,2,1,3,2
1,3,20,6,7,3,4,2,2,1,3,2
1,3,20,6,7,3,4,2,2,1,3,1
1,2,20,5,14,3,4,2,2,1,3,2
1,2,20,5,35,3,4,2,2,1,3,1
1,3,20,7,7,3,4,2,2,1,3,2
1,2,20,5,14,3,4,2,2,1,3,2
1,3,20,5,7,3,4,2,2,1,3,1
1,2,20,6,4,3,4,2,2,1,3,2
2,2,20,5,14,3,4,2,2,1,3,2
1,2,20,8,4,3,4,2,2,1,3,2
2,2,20,7,63,3,4,2,2,1,3,2
1,2,20,8,14,3,4,2,2,1,3,2
1,2,20,8,7,3,4,2,2,1,3,1
1,2,20,6,13,3,4,2,2,1,3,2
1,2,20,6,4,3,4,2,2,1,3,1
2,2,20,5,8,3,4,2,2,1,3,2
1,2,20,6,4,3,4,2,2,1,3,2
2,2,20,5,7,3,4,2,2,1,3,2
1,2,20,6,21,3,4,2,2,1,3,2
1,2,20,6,4,3,4,2,2,1,3,1
2,2,20,6,7,3,4,2,2,1,3,1
1,2,20,6,21,3,4,2,2,1,3,1
1,2,20,6,7,3,4,2,2,1,3,1
2,2,20,5,13,3,4,2,2,1,3,2
1,2,20,7,22,3,4,2,2,1,3,2
1,2,20,6,4,3,4,2,2,1,3,2
2,2,20,6,14,3,4,2,2,1,3,1
2,2,20,7,45,3,4,2,2,1,3,2
1,2,20,8,11,3,4,2,2,1,3,2
1,2,20,6,13,3,4,2,2,1,3,2
1,3,20,6,8,3,4,2,2,1,3,1
1,2,20,5,7,3,4,2,2,1,3,2
1,2,20,5,21,3,4,2,2,1,3,1
1,3,26,1,11,5,3,1,3,1,2,2
1,2,26,9,32,5,3,1,3,1,2,2
1,3,26,1,6,5,3,1,3,1,2,2
1,2,26,9,10,5,3,1,3,1,2,2
1,2,26,1,10,5,3,1,3,1,2,2
2,2,26,1,28,5,3,1,3,1,2,1
1,3,26,1,28,5,3,1,3,1,2,1
1,2,26,9,11,5,3,1,3,1,2,2
2,2,26,1,39,5,3,1,3,1,2,2
1,2,26,9,10,5,3,1,3,1,2,2
1,2,26,1,6,5,3,1,3,1,2,2
1,2,26,2,29,5,3,1,3,1,2,2
1,2,26,9,6,5,3,1,3,1,2,2
1,2,26,2,7,5,3,1,3,1,2,2
1,2,26,9,3,5,3,1,3,1,2,2
2,2,26,9,30,5,3,1,3,1,2,1
1,2,26,1,30,5,3,1,3,1,2,2
1,2,26,2,18,5,3,1,3,1,2,2
1,2,26,9,13,5,3,1,3,1,2,2
1,2,26,9,11,5,3,1,3,1,2,1
2,2,26,9,9,5,3,1,3,1,2,1
1,2,26,1,14,5,3,1,3,1,2,2
1,2,26,9,9,5,3,1,3,1,2,2
1,2,26,9,7,5,3,1,3,1,2,1
1,2,26,9,5,5,3,1,3,1,2,1
1,1,26,4,12,5,3,1,3,1,2,2
2,3,26,1,14,5,3,1,3,1,2,2
1,2,26,9,14,5,3,1,3,1,2,2
1,2,26,2,14,5,3,1,3,1,2,2
1,3,26,1,28,5,3,1,3,1,2,2
1,2,26,9,14,5,3,1,3,1,2,2
1,2,26,9,14,5,3,1,3,1,2,1
1,2,26,9,7,5,3,1,3,1,2,1
1,2,26,2,7,5,3,1,3,1,2,2
1,2,26,9,5,5,3,1,3,1,2,2
1,2,26,1,23,5,3,1,3,1,2,2
1,2,26,8,7,5,3,1,3,1,2,2
1,2,26,9,7,5,3,1,3,1,2,2
1,3,26,1,21,5,3,1,3,1,2,2
1,2,26,9,7,5,3,1,3,1,2,2
1,2,26,1,6,5,3,1,3,1,2,2
1,2,26,1,12,5,3,1,3,1,2,1
1,2,26,1,16,5,3,1,3,1,2,1
1,2,26,1,36,5,3,1,3,1,2,1
1,2,26,3,21,5,3,1,3,1,2,2
1,2,26,7,4,5,3,1,3,1,2,2
1,3,26,7,3,5,3,1,3,1,2,1
1,2,26,9,13,5,3,1,3,1,2,2
1,3,26,8,9,5,3,1,3,1,2,2
1,2,26,7,3,5,3,1,3,1,2,2
1,3,26,7,13,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
1,2,26,7,26,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
1,2,26,7,13,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
1,2,26,7,4,5,3,1,3,1,2,1
1,2,26,7,9,5,3,1,3,1,2,1
1,2,26,7,8,5,3,1,3,1,2,1
1,2,26,1,8,5,3,1,3,1,2,2
1,2,26,7,12,5,3,1,3,1,2,2
1,2,26,8,13,5,3,1,3,1,2,2
1,3,26,8,42,5,3,1,3,1,2,1
1,2,26,7,6,5,3,1,3,1,2,2
1,2,26,7,10,5,3,1,3,1,2,1
1,2,26,7,11,5,3,1,3,1,2,1
1,2,26,7,7,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
1,2,26,7,15,5,3,1,3,1,2,1
1,2,26,7,17,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
1,2,26,7,6,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
1,2,26,7,21,5,3,1,3,1,2,1
1,2,26,7,18,5,3,1,3,1,2,1
1,2,26,7,10,5,3,1,3,1,2,1
1,2,26,7,14,5,3,1,3,1,2,1
2,2,26,8,14,5,3,1,3,1,2,2
1,2,26,8,2,5,3,1,3,1,2,1
1,1,28,4,16,4,3,3,2,2,3,1
1,1,28,4,11,4,3,3,2,2,3,1
2,1,28,4,1,4,3,3,2,2,3,1
1,3,28,6,25,4,3,3,2,2,3,2
1,1,28,4,24,4,3,3,2,2,3,2
1,1,28,4,7,4,3,3,2,2,3,1
1,1,28,4,7,4,3,3,2,2,3,1
1,3,28,6,6,4,3,3,2,2,3,2
2,1,28,4,2,4,3,3,2,2,3,2
1,1,28,4,2,4,3,3,2,2,3,1
1,3,28,6,17,4,3,3,2,2,3,2
1,3,28,6,1,4,3,3,2,2,3,1
2,1,28,4,14,4,3,3,2,2,3,2
1,1,28,4,7,4,3,3,2,2,3,1
1,3,28,6,5,4,3,3,2,2,3,2
3,1,28,4,8,4,3,3,2,2,3,2
1,3,28,6,1,4,3,3,2,2,3,2
1,1,28,4,11,4,3,3,2,2,3,2
1,1,28,4,18,4,3,3,2,2,3,1
1,3,28,6,7,4,3,3,2,2,3,2
1,1,28,4,7,4,3,3,2,2,3,2
1,3,28,6,18,4,3,3,2,2,3,2
1,1,28,4,8,4,3,3,2,2,3,2
1,1,28,4,7,4,3,3,2,2,3,1
1,3,28,6,2,4,3,3,2,2,3,2
1,1,28,4,3,4,3,3,2,2,3,2
3,1,28,4,6,4,3,3,2,2,3,1
1,3,28,6,3,4,3,3,2,2,3,2
2,1,28,4,29,4,3,3,2,2,3,2
1,1,28,4,16,4,3,3,2,2,3,1
1,1,28,4,16,4,3,3,2,2,3,1
1,3,28,6,3,4,3,3,2,2,3,2
2,1,28,4,6,4,3,3,2,2,3,2
1,3,28,6,15,4,3,3,2,2,3,2
1,1,28,4,7,4,3,3,2,2,3,2
2,3,28,6,14,4,3,3,2,2,3,2
1,1,28,4,19,4,3,3,2,2,3,2
1,3,28,6,4,4,3,3,2,2,3,2
2,2,28,4,9,4,3,3,2,2,3,2
1,2,28,4,3,4,3,3,2,2,3,1
1,2,28,4,1,4,3,3,2,2,3,1
3,2,28,4,7,4,3,3,2,2,3,1
1,2,28,4,5,4,3,3,2,2,3,1
1,2,28,4,2,4,3,3,2,2,3,1
1,3,28,6,6,4,3,3,2,2,3,2
1,3,28,6,4,4,3,3,2,2,3,1
2,2,28,4,1,4,3,3,2,2,3,2
1,3,28,1,20,4,3,3,2,2,3,2
1,2,28,4,8,4,3,3,2,2,3,2
1,3,28,6,5,4,3,3,2,2,3,2
1,2,28,4,5,4,3,3,2,2,3,2
1,2,28,4,18,4,3,3,2,2,3,1
1,2,28,4,9,4,3,3,2,2,3,1
2,1,28,6,17,4,3,3,2,2,3,2
1,1,28,2,1,4,3,3,2,2,3,2
1,2,28,4,17,4,3,3,2,2,3,2
1,2,28,4,5,4,3,3,2,2,3,1
1,2,28,4,10,4,3,3,2,2,3,1
2,2,28,3,3,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,2
1,1,28,4,6,4,3,3,2,2,3,1
1,3,28,6,10,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,2
1,3,28,6,10,4,3,3,2,2,3,2
1,1,28,4,15,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,1
1,3,28,6,10,4,3,3,2,2,3,2
1,1,28,4,13,4,3,3,2,2,3,2
1,1,28,4,13,4,3,3,2,2,3,1
1,3,28,6,6,4,3,3,2,2,3,2
1,1,28,4,20,4,3,3,2,2,3,2
1,1,28,4,10,4,3,3,2,2,3,1
2,1,28,6,17,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,2
1,3,28,6,5,4,3,3,2,2,3,2
3,1,28,4,4,4,3,3,2,2,3,2
2,1,28,4,4,4,3,3,2,2,3,1
2,3,28,6,12,4,3,3,2,2,3,2
1,3,28,6,7,4,3,3,2,2,3,1
2,1,28,4,14,4,3,3,2,2,3,2
1,1,28,4,14,4,3,3,2,2,3,1
1,1,28,4,14,4,3,3,2,2,3,1
1,1,28,4,6,4,3,3,2,2,3,1
1,1,28,4,6,4,3,3,2,2,3,1
1,3,28,6,15,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,2
1,3,28,6,12,4,3,3,2,2,3,2
1,1,28,4,19,4,3,3,2,2,3,2
1,1,28,4,19,4,3,3,2,2,3,1
1,3,28,6,9,4,3,3,2,2,3,2
1,1,28,4,13,4,3,3,2,2,3,2
1,1,28,4,13,4,3,3,2,2,3,1
1,3,28,6,12,4,3,3,2,2,3,2
1,1,28,4,17,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,1
1,3,28,6,15,4,3,3,2,2,3,2
1,1,28,4,6,4,3,3,2,2,3,2
1,1,28,4,6,4,3,3,2,2,3,1
1,3,28,6,14,4,3,3,2,2,3,2
1,1,28,4,7,4,3,3,2,2,3,2
1,3,28,6,14,4,3,3,2,2,3,2
1,1,28,4,4,4,3,3,2,2,3,2
1,1,28,4,2,4,3,3,2,2,3,1
2,3,28,6,8,4,3,3,2,2,3,2
1,1,28,4,41,4,3,3,2,2,3,2
1,1,28,4,2,4,3,3,2,2,3,1
1,3,28,6,5,4,3,3,2,2,3,2
1,1,28,4,23,4,3,3,2,2,3,2
1,1,28,4,6,4,3,3,2,2,3,1
1,1,28,4,17,4,3,3,2,2,3,1
1,1,28,4,10,4,3,3,2,2,3,1
1,3,28,6,1,4,3,3,2,2,3,2
1,1,28,4,9,4,3,3,2,2,3,2
3,2,32,1,10,5,1,1,3,2,1,2
2,3,32,2,41,5,1,1,3,2,1,2
3,2,32,1,5,5,1,1,3,2,1,2
3,2,32,1,10,5,1,1,3,2,1,1
3,2,32,1,5,5,1,1,3,2,1,1
3,2,32,1,6,5,1,1,3,2,1,1
3,2,32,1,2,5,1,1,3,2,1,1
3,2,32,1,7,5,1,1,3,2,1,1
3,2,32,1,24,5,1,1,3,2,1,1
3,2,32,1,11,5,1,1,3,2,1,1
3,2,32,1,7,5,1,1,3,2,1,1
3,2,32,1,14,5,1,1,3,2,1,1
3,2,32,1,2,5,1,1,3,2,1,1
3,2,32,1,14,5,1,1,3,2,1,1
3,2,32,1,7,5,1,1,3,2,1,1
3,2,32,1,11,5,1,1,3,2,1,1
3,2,32,1,7,5,1,1,3,2,1,1
3,2,32,1,5,5,1,1,3,2,1,1
3,2,32,1,12,5,1,1,3,2,1,1
2,2,32,1,3,5,1,1,3,2,1,1
3,2,32,1,14,5,1,1,3,2,1,1
3,2,32,1,33,5,1,1,3,2,1,1
3,2,32,1,32,5,1,1,3,2,1,1
3,2,32,1,3,5,1,1,3,2,1,1
1,2,36,9,21,4,1,3,2,1,3,1
1,2,36,9,9,4,1,3,2,1,3,1
1,2,36,9,9,4,1,3,2,1,3,1
1,1,36,9,3,4,1,3,2,1,3,1
2,2,36,9,3,4,1,3,2,1,3,1
1,2,36,9,3,4,1,3,2,1,3,1
1,2,36,9,15,4,1,3,2,1,3,1
2,2,36,9,20,4,1,3,2,1,3,1
1,3,36,9,3,4,1,3,2,1,3,1
3,2,36,1,6,4,1,3,2,1,3,2
2,2,36,1,25,4,1,3,2,1,3,1
1,3,36,9,19,4,1,3,2,1,3,2
1,3,36,1,3,4,1,3,2,1,3,2
1,3,36,9,3,4,1,3,2,1,3,2
1,2,36,9,30,4,1,3,2,1,3,1
1,3,36,9,3,4,1,3,2,1,3,1
2,2,36,9,8,4,1,3,2,1,3,1
2,3,36,9,1,4,1,3,2,1,3,1
2,2,36,9,35,4,1,3,2,1,3,1
1,3,36,1,21,4,1,3,2,1,3,2
1,3,36,1,5,4,1,3,2,1,3,1
1,2,36,1,18,4,1,3,2,1,3,1
1,3,36,9,11,4,1,3,2,1,3,2
1,3,36,1,1,4,1,3,2,1,3,2
2,2,36,9,7,4,1,3,2,1,3,2
1,2,36,9,2,4,1,3,2,1,3,1
3,2,36,1,6,4,1,3,2,1,3,2
2,2,36,9,9,4,1,3,2,1,3,2
2,2,36,1,11,4,1,3,2,1,3,2
1,2,36,9,27,4,1,3,2,1,3,2
1,3,36,9,27,4,1,3,2,1,3,1
1,2,36,9,18,4,1,3,2,1,3,1
1,3,36,9,26,4,1,3,2,1,3,1
1,2,36,9,8,4,1,3,2,1,3,1
2,2,36,9,4,4,1,3,2,1,3,1
1,2,36,9,9,4,1,3,2,1,3,1
1,2,36,9,1,4,1,3,2,1,3,1
1,2,36,9,10,4,1,3,2,1,3,1
1,2,36,9,3,4,1,3,2,1,3,1
1,2,36,1,3,4,1,3,2,1,3,2
1,2,36,9,4,4,1,3,2,1,3,2
2,2,36,9,9,4,1,3,2,1,3,1
1,2,36,9,5,4,1,3,2,1,3,1
1,2,36,1,11,4,1,3,2,1,3,2
1,2,36,9,11,4,1,3,2,1,3,2
1,2,36,9,21,4,1,3,2,1,3,1
1,2,36,9,32,4,1,3,2,1,3,1
1,2,36,1,23,4,1,3,2,1,3,2
1,2,36,1,23,4,1,3,2,1,3,1
1,2,36,9,27,4,1,3,2,1,3,2
1,3,36,9,15,4,1,3,2,1,3,1
1,2,36,9,21,4,1,3,2,1,3,1
1,3,36,1,4,4,1,3,2,1,3,2
1,3,36,9,4,4,1,3,2,1,3,2
1,2,36,9,1,4,1,3,2,1,3,1
3,2,36,1,3,4,1,3,2,1,3,2
2,2,36,9,31,4,1,3,2,1,3,2
1,2,36,9,2,4,1,3,2,1,3,1
1,2,36,1,23,4,1,3,2,1,3,2
1,2,36,1,13,4,1,3,2,1,3,1
1,2,36,9,3,4,1,3,2,1,3,2
1,2,36,9,2,4,1,3,2,1,3,1
1,2,36,9,13,4,1,3,2,1,3,1
1,2,36,9,13,4,1,3,2,1,3,1
1,2,36,9,5,4,1,3,2,1,3,1
1,2,36,9,5,4,1,3,2,1,3,1
2,2,36,9,10,4,1,3,2,1,3,1
1,2,36,9,24,4,1,3,2,1,3,1
1,2,36,9,10,4,1,3,2,1,3,1
2,2,36,1,4,4,1,3,2,1,3,2
2,2,36,9,4,4,1,3,2,1,3,2
3,2,36,9,11,4,1,3,2,1,3,1
2,2,36,9,29,4,1,3,2,1,3,1
1,2,36,9,19,4,1,3,2,1,3,1
1,2,36,9,5,4,1,3,2,1,3,1
2,2,36,9,6,4,1,3,2,1,3,1
1,2,36,9,12,4,1,3,2,1,3,1
1,1,36,9,2,4,1,3,2,1,3,1
2,1,36,9,6,4,1,3,2,1,3,1
2,2,36,9,43,4,1,3,2,1,3,1
1,2,36,9,14,4,1,3,2,1,3,1
1,2,36,9,20,4,1,3,2,1,3,1
1,2,36,9,4,4,1,3,2,1,3,1
3,1,36,9,1,4,1,3,2,1,3,1
1,3,37,7,13,2,3,3,4,2,3,1
1,3,37,7,14,2,3,3,4,2,3,1
1,3,37,8,21,2,3,3,4,2,3,2
1,3,37,8,35,2,3,3,4,2,3,1
1,3,37,7,12,2,3,3,4,2,3,2
1,2,37,7,12,2,3,3,4,2,3,1
1,2,37,8,25,2,3,3,4,2,3,2
1,3,37,7,12,2,3,3,4,2,3,2
1,3,37,7,28,2,3,3,4,2,3,1
1,3,37,7,16,2,3,3,4,2,3,1
1,3,37,7,19,2,3,3,4,2,3,1
1,3,37,7,7,2,3,3,4,2,3,1
1,3,37,7,12,2,3,3,4,2,3,1
1,3,37,7,18,2,3,3,4,2,3,1
1,3,37,7,10,2,3,3,4,2,3,1
1,3,37,7,10,2,3,3,4,2,3,1
1,3,37,7,22,2,3,3,4,2,3,1
1,3,37,8,5,2,3,3,4,2,3,2
1,1,37,7,4,2,3,3,4,2,3,2
1,3,37,7,14,2,3,3,4,2,3,1
1,3,37,7,8,2,3,3,4,2,3,1
1,3,37,7,2,2,3,3,4,2,3,1
1,2,37,3,35,2,3,3,4,2,3,2
1,3,37,8,8,2,3,3,4,2,3,2
1,3,37,8,3,2,3,3,4,2,3,1
1,3,37,7,11,2,3,3,4,2,3,2
1,3,37,7,34,2,3,3,4,2,3,1
1,3,37,7,11,2,3,3,4,2,3,1
1,2,37,7,20,2,3,3,4,2,3,1
1,3,37,7,6,2,3,3,4,2,3,1
1,2,37,8,7,2,3,3,4,2,3,2
1,2,37,8,8,2,3,3,4,2,3,1
1,3,37,7,5,2,3,3,4,2,3,2
1,3,37,7,4,2,3,3,4,2,3,1
1,3,37,5,23,2,3,3,4,2,3,2
1,2,37,8,5,2,3,3,4,2,3,2
1,3,37,7,11,2,3,3,4,2,3,2
1,2,37,7,5,2,3,3,4,2,3,1
1,3,37,7,8,2,3,3,4,2,3,1
1,2,37,8,35,2,3,3,4,2,3,2
1,3,37,8,8,2,3,3,4,2,3,1
1,3,37,7,19,2,3,3,4,2,3,2
1,3,37,8,4,2,3,3,4,2,3,2
1,2,37,3,11,2,3,3,4,2,3,2
1,3,37,7,34,2,3,3,4,2,3,2
